Manufacturer,Model,Category,Fuel type,Gear box type,Drive wheels,Doors,Wheel,Color,Leather interior,Manufacturer_cleaned,Model_cleaned,Category_cleaned,Fuel type_cleaned,Gear box type_cleaned,Drive wheels_cleaned,Doors_cleaned,Wheel_cleaned,Color_cleaned,Leather interior_cleaned,Manufacturer_scaled,Model_scaled,Category_scaled,Fuel type_scaled,Gear box type_scaled,Drive wheels_scaled,Doors_scaled,Wheel_scaled,Color_scaled,Leather interior_scaled,Levy,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Levy_cleaned,Prod. year_cleaned,Engine volume_cleaned,isTurbo,Mileage_cleaned,Cylinders_cleaned,Airbags_cleaned,Levy_scaled,Prod. year_scaled,Engine volume_scaled,Mileage_scaled,Cylinders_scaled,Airbags_scaled,Price
MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,Rear,04-May,Left wheel,White,Yes,MERCEDES-BENZ,E 350,SEDAN,DIESEL,AUTOMATIC,REAR,4,LEFT WHEEL,WHITE,YES,18318.5683697,11656.3850257,14159.5858168,36298.9310787,16011.0486705,17448.8573494,17089.9312887,20737.4846683,18498.8401849,18478.9556784,1053,2014,3.5,184467 km,6.0000000,12,1053,2014,3.5000000,0,184467,6.0000000,12,0.0898924,0.9259259,0.1750000,0.0000859,0.3333333,0.7500000,941
FORD,Transit,Microbus,CNG,Manual,Rear,02-Mar,Left wheel,Blue,No,FORD,TRANSIT,MICROBUS,CNG,MANUAL,REAR,2,LEFT WHEEL,BLUE,NO,16689.1262008,14298.8415561,19041.3038388,9029.0145166,39404.6623373,17448.8573494,85611.0594215,20737.4846683,51432.4322560,23533.4518021,-,1999,4,0 km,8.0000000,0,0,1999,4.0000000,0,0,8.0000000,0,0.0000000,0.7407407,0.2000000,0.0000000,0.4666667,0.0000000,8781
OPEL,Vectra,Goods wagon,CNG,Manual,Front,04-May,Left wheel,White,No,OPEL,VECTRA,GOODS WAGON,CNG,MANUAL,FRONT,4,LEFT WHEEL,WHITE,NO,135697.0088246,8189.7813776,234177.2442192,9029.0145166,39404.6623373,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,1997,1.6,350000 km,4.0000000,4,0,1997,1.6000000,0,350000,4.0000000,4,0.0000000,0.7160494,0.0800000,0.0001630,0.2000000,0.2500000,3000
LEXUS,RX 450,Jeep,Hybrid,Automatic,Front,04-May,Left wheel,White,Yes,LEXUS,RX 450,JEEP,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,19295.3661710,9980.3011905,23520.2505712,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,1055,2013,3.5,138038 km,6.0000000,12,1055,2013,3.5000000,0,138038,6.0000000,12,0.0900632,0.9135802,0.1750000,0.0000643,0.3333333,0.7500000,1019
TOYOTA,CHR,Jeep,Petrol,Automatic,Front,04-May,Left wheel,White,Yes,TOYOTA,CHR,JEEP,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,14378.2583811,16600.8140423,23520.2505712,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,1079,2018,2,74146 km,4.0000000,12,1079,2018,2.0000000,0,74146,4.0000000,12,0.0921120,0.9753086,0.1000000,0.0000345,0.2000000,0.7500000,549
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Blue,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLUE,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,51432.4322560,18478.9556784,810,2016,1.8,121840 km,4.0000000,12,810,2016,1.8000000,0,121840,4.0000000,12,0.0691480,0.9506173,0.0900000,0.0000567,0.2000000,0.7500000,7683
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,White,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,810,2016,1.8,54317 km,4.0000000,4,810,2016,1.8000000,0,54317,4.0000000,4,0.0691480,0.9506173,0.0900000,0.0000253,0.2000000,0.2500000,28382
HYUNDAI,Sonata,Sedan,Petrol,Automatic,Rear,04-May,Left wheel,Blue,Yes,HYUNDAI,SONATA,SEDAN,PETROL,AUTOMATIC,REAR,4,LEFT WHEEL,BLUE,YES,21956.5739967,13621.9359885,14159.5858168,17162.3155529,16011.0486705,17448.8573494,17089.9312887,20737.4846683,51432.4322560,18478.9556784,2386,2006,3.3,295059 km,6.0000000,12,2386,2006,3.3000000,0,295059,6.0000000,12,0.2036879,0.8271605,0.1650000,0.0001374,0.3333333,0.7500000,549
LEXUS,RX 400,Jeep,Hybrid,Automatic,4x4,04-May,Left wheel,Black,Yes,LEXUS,RX 400,JEEP,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,BLACK,YES,19295.3661710,12549.9592366,23520.2505712,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18086.8626653,18478.9556784,1850,2008,3.5,364523 km,6.0000000,12,1850,2008,3.5000000,0,364523,6.0000000,12,0.1579307,0.8518519,0.1750000,0.0001697,0.3333333,0.7500000,941
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,531,2012,1.6,112645 km,4.0000000,4,531,2012,1.6000000,0,112645,4.0000000,4,0.0453304,0.9012346,0.0800000,0.0000525,0.2000000,0.2500000,18826
TOYOTA,Prius,Sedan,Plug-in Hybrid,Automatic,Front,04-May,Left wheel,White,Yes,TOYOTA,PRIUS,SEDAN,PLUG-IN HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,14378.2583811,11460.6154719,14159.5858168,23544.2248747,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,586,2012,1.8,187000 km,4.0000000,12,586,2012,1.8000000,0,187000,4.0000000,12,0.0500256,0.9012346,0.0900000,0.0000871,0.2000000,0.7500000,20698
TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Black,Yes,TOYOTA,CAMRY,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,14378.2583811,12742.1087257,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,1249,2017,2.5,39709 km,4.0000000,12,1249,2017,2.5000000,0,39709,4.0000000,12,0.1066246,0.9629630,0.1250000,0.0000185,0.2000000,0.7500000,17562
FORD,Transit,Microbus,Diesel,Manual,Front,02-Mar,Left wheel,White,No,FORD,TRANSIT,MICROBUS,DIESEL,MANUAL,FRONT,2,LEFT WHEEL,WHITE,NO,16689.1262008,14298.8415561,19041.3038388,36298.9310787,39404.6623373,20599.3767854,85611.0594215,20737.4846683,18498.8401849,23533.4518021,-,2001,2.0 Turbo,230000 km,4.0000000,0,0,2001,2.0000000,1,230000,4.0000000,0,0.0000000,0.7654321,0.1000000,0.0001071,0.2000000,0.0000000,7840
OPEL,Vectra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Green,No,OPEL,VECTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREEN,NO,135697.0088246,8189.7813776,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,9189.5495385,23533.4518021,-,1995,1.8,0 km,4.0000000,4,0,1995,1.8000000,0,0,4.0000000,4,0.0000000,0.6913580,0.0900000,0.0000000,0.2000000,0.2500000,4704
MERCEDES-BENZ,E 220,Sedan,Diesel,Tiptronic,Rear,04-May,Left wheel,Black,Yes,MERCEDES-BENZ,E 220,SEDAN,DIESEL,TIPTRONIC,REAR,4,LEFT WHEEL,BLACK,YES,18318.5683697,18159.8272620,14159.5858168,36298.9310787,25387.1017835,17448.8573494,17089.9312887,20737.4846683,18086.8626653,18478.9556784,-,2006,2.2 Turbo,210000 km,4.0000000,8,0,2006,2.2000000,1,210000,4.0000000,8,0.0000000,0.8271605,0.1100000,0.0000978,0.2000000,0.5000000,20385
LEXUS,GX 470,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,White,Yes,LEXUS,GX 470,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,WHITE,YES,19295.3661710,20186.1686561,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18498.8401849,18478.9556784,2455,2008,4.7,0 km,8.0000000,0,2455,2008,4.7000000,0,0,8.0000000,0,0.2095783,0.8518519,0.2350000,0.0000000,0.4666667,0.0000000,549
TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,White,No,TOYOTA,PRIUS,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,NO,14378.2583811,11460.6154719,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2008,1.5,169000 km,4.0000000,8,0,2008,1.5000000,0,169000,4.0000000,8,0.0000000,0.8518519,0.0750000,0.0000787,0.2000000,0.5000000,30
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,583,2011,1.6,158787 km,4.0000000,4,583,2011,1.6000000,0,158787,4.0000000,4,0.0497695,0.8888889,0.0800000,0.0000739,0.2000000,0.2500000,14454
TOYOTA,Highlander,Jeep,Hybrid,Automatic,4x4,04-May,Left wheel,Blue,Yes,TOYOTA,HIGHLANDER,JEEP,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,BLUE,YES,14378.2583811,10714.9506463,23520.2505712,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,51432.4322560,18478.9556784,1537,2009,3.3,420550 km,6.0000000,12,1537,2009,3.3000000,0,420550,6.0000000,12,0.1312105,0.8641975,0.1650000,0.0001958,0.3333333,0.7500000,12074
MERCEDES-BENZ,Vito,Goods wagon,Diesel,Manual,Rear,04-May,Left wheel,White,No,MERCEDES-BENZ,VITO,GOODS WAGON,DIESEL,MANUAL,REAR,4,LEFT WHEEL,WHITE,NO,18318.5683697,22804.3614112,234177.2442192,36298.9310787,39404.6623373,17448.8573494,17089.9312887,20737.4846683,18498.8401849,23533.4518021,1288,2007,2.0 Turbo,180000 km,6.0000000,4,1288,2007,2.0000000,1,180000,6.0000000,4,0.1099539,0.8395062,0.1000000,0.0000838,0.3333333,0.2500000,15681
PORSCHE,Cayenne,Jeep,Diesel,Automatic,4x4,04-May,Left wheel,White,Yes,PORSCHE,CAYENNE,JEEP,DIESEL,AUTOMATIC,4X4,4,LEFT WHEEL,WHITE,YES,34886.7823594,26382.5826300,23520.2505712,36298.9310787,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18498.8401849,18478.9556784,915,2014,3,175056 km,6.0000000,12,915,2014,3.0000000,0,175056,6.0000000,12,0.0781117,0.9259259,0.1500000,0.0000815,0.3333333,0.7500000,19444
BMW,X5,Jeep,CNG,Automatic,4x4,04-May,Left wheel,Silver,Yes,BMW,X5,JEEP,CNG,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,21076.6479150,16891.8490893,23520.2505712,9029.0145166,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,-,2000,4.4,200000 km,8.0000000,6,0,2000,4.4000000,0,200000,8.0000000,6,0.0000000,0.7530864,0.2200000,0.0000931,0.4666667,0.3750000,6899
TOYOTA,Highlander,Sedan,Hybrid,Automatic,4x4,04-May,Left wheel,White,Yes,TOYOTA,HIGHLANDER,SEDAN,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,WHITE,YES,14378.2583811,10714.9506463,14159.5858168,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18498.8401849,18478.9556784,1750,2008,3.3,287274 km,6.0000000,12,1750,2008,3.3000000,0,287274,6.0000000,12,0.1493939,0.8518519,0.1650000,0.0001338,0.3333333,0.7500000,125
JEEP,Grand Cherokee,Jeep,Diesel,Tiptronic,4x4,04-May,Left wheel,Black,Yes,JEEP,GRAND CHEROKEE,JEEP,DIESEL,TIPTRONIC,4X4,4,LEFT WHEEL,BLACK,YES,23687.6563154,20073.8650923,23520.2505712,36298.9310787,25387.1017835,18911.5534039,17089.9312887,20737.4846683,18086.8626653,18478.9556784,-,2007,3.0 Turbo,250000 km,6.0000000,10,0,2007,3.0000000,1,250000,6.0000000,10,0.0000000,0.8395062,0.1500000,0.0001164,0.3333333,0.6250000,24462
HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Grey,Yes,HYUNDAI,SANTA FE,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,21956.5739967,39004.0629882,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,707,2011,2,162000 km,4.0000000,4,707,2011,2.0000000,0,162000,4.0000000,4,0.0603551,0.8888889,0.1000000,0.0000754,0.2000000,0.2500000,23235
HONDA,FIT,Hatchback,Hybrid,Automatic,Front,04-May,Right-hand drive,Black,No,HONDA,FIT,HATCHBACK,HYBRID,AUTOMATIC,FRONT,4,RIGHT-HAND DRIVE,BLACK,NO,14390.6988168,11780.7836977,11346.8436235,10903.2491977,16011.0486705,20599.3767854,17089.9312887,8945.6475385,18086.8626653,23533.4518021,1486,2010,1.3,158000 km,4.0000000,4,1486,2010,1.3000000,0,158000,4.0000000,4,0.1268568,0.8765432,0.0650000,0.0000736,0.2000000,0.2500000,7527
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,531,2012,1.6,103490 km,4.0000000,4,531,2012,1.6000000,0,103490,4.0000000,4,0.0453304,0.9012346,0.0800000,0.0000482,0.2000000,0.2500000,19121
LEXUS,RX 450,Jeep,Hybrid,Automatic,4x4,04-May,Left wheel,Silver,Yes,LEXUS,RX 450,JEEP,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,19295.3661710,9980.3011905,23520.2505712,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1399,2010,3.5,382746 km,6.0000000,12,1399,2010,3.5000000,0,382746,6.0000000,12,0.1194297,0.8765432,0.1750000,0.0001782,0.3333333,0.7500000,314
TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Blue,Yes,TOYOTA,CAMRY,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLUE,YES,14378.2583811,12742.1087257,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,51432.4322560,18478.9556784,751,2013,2.4,203200 km,4.0000000,4,751,2013,2.4000000,0,203200,4.0000000,4,0.0641113,0.9135802,0.1200000,0.0000946,0.2000000,0.2500000,24462
HYUNDAI,H1,Universal,Diesel,Automatic,Front,04-May,Left wheel,Black,Yes,HYUNDAI,H1,UNIVERSAL,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,21956.5739967,29101.7545057,22215.4061199,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,1091,2016,2.5,61057 km,4.0000000,4,1091,2016,2.5000000,0,61057,4.0000000,4,0.0931364,0.9506173,0.1250000,0.0000284,0.2000000,0.2500000,45734
VOLKSWAGEN,Jetta,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,Black,Yes,VOLKSWAGEN,JETTA,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,BLACK,YES,11764.1629492,11516.5818155,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,650,2016,1.4 Turbo,11200 km,4.0000000,8,650,2016,1.4000000,1,11200,4.0000000,8,0.0554892,0.9506173,0.0700000,0.0000052,0.2000000,0.5000000,20165
HYUNDAI,Sonata,Sedan,Hybrid,Tiptronic,Front,04-May,Left wheel,White,Yes,HYUNDAI,SONATA,SEDAN,HYBRID,TIPTRONIC,FRONT,4,LEFT WHEEL,WHITE,YES,21956.5739967,13621.9359885,14159.5858168,10903.2491977,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,382,2014,2.4,141000 km,4.0000000,12,382,2014,2.4000000,0,141000,4.0000000,12,0.0326106,0.9259259,0.1200000,0.0000657,0.2000000,0.7500000,21326
PORSCHE,Cayenne,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,Silver,Yes,PORSCHE,CAYENNE,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,34886.7823594,26382.5826300,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1436,2010,3.6,160259 km,6.0000000,12,1436,2010,3.6000000,0,160259,6.0000000,12,0.1225884,0.8765432,0.1800000,0.0000746,0.3333333,0.7500000,549
TOYOTA,Tacoma,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,Silver,Yes,TOYOTA,TACOMA,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,14378.2583811,15265.5064869,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1194,2013,4,239342 km,6.0000000,12,1194,2013,4.0000000,0,239342,6.0000000,12,0.1019293,0.9135802,0.2000000,0.0001115,0.3333333,0.7500000,220
TOYOTA,Prius C,Hatchback,Hybrid,Variator,Front,04-May,Left wheel,Sky blue,No,TOYOTA,PRIUS C,HATCHBACK,HYBRID,VARIATOR,FRONT,4,LEFT WHEEL,SKY BLUE,NO,14378.2583811,17616.4875975,11346.8436235,10903.2491977,15129.3860444,20599.3767854,17089.9312887,20737.4846683,15339.6259694,23533.4518021,503,2012,1.5,128000 km,4.0000000,8,503,2012,1.5000000,0,128000,4.0000000,8,0.0429401,0.9012346,0.0750000,0.0000596,0.2000000,0.5000000,15681
TOYOTA,Aqua,Hatchback,Hybrid,Automatic,Front,04-May,Right-hand drive,Black,No,TOYOTA,AQUA,HATCHBACK,HYBRID,AUTOMATIC,FRONT,4,RIGHT-HAND DRIVE,BLACK,NO,14378.2583811,16508.7922786,11346.8436235,10903.2491977,16011.0486705,20599.3767854,17089.9312887,8945.6475385,18086.8626653,23533.4518021,-,2012,1.5,141500 km,4.0000000,8,0,2012,1.5000000,0,141500,4.0000000,8,0.0000000,0.9012346,0.0750000,0.0000659,0.2000000,0.5000000,12544
FORD,Escape Hybrid,Jeep,Hybrid,Variator,4x4,04-May,Left wheel,White,No,FORD,ESCAPE HYBRID,JEEP,HYBRID,VARIATOR,4X4,4,LEFT WHEEL,WHITE,NO,16689.1262008,18959.4379873,23520.2505712,10903.2491977,15129.3860444,18911.5534039,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2008,2.3,147000 km,4.0000000,8,0,2008,2.3000000,0,147000,4.0000000,8,0.0000000,0.8518519,0.1150000,0.0000685,0.2000000,0.5000000,17249
HONDA,Civic,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Blue,Yes,HONDA,CIVIC,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLUE,YES,14390.6988168,28015.6520948,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,51432.4322560,18478.9556784,891,2016,2,87768 km,4.0000000,4,891,2016,2.0000000,0,87768,4.0000000,4,0.0760628,0.9506173,0.1000000,0.0000409,0.2000000,0.2500000,34889
AUDI,Q7,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,Black,Yes,AUDI,Q7,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,BLACK,YES,13145.2028426,14255.3272620,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18086.8626653,18478.9556784,1104,2015,3,264014 km,6.0000000,0,1104,2015,3.0000000,0,264014,6.0000000,0,0.0942462,0.9382716,0.1500000,0.0001229,0.3333333,0.0000000,862
RENAULT,Megane 1.5CDI,Sedan,Diesel,Manual,Front,04-May,Left wheel,White,No,RENAULT,MEGANE 1.5CDI,SEDAN,DIESEL,MANUAL,FRONT,4,LEFT WHEEL,WHITE,NO,14889.5138200,19851.7817860,14159.5858168,36298.9310787,39404.6623373,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2008,1.5 Turbo,132542 km,4.0000000,10,0,2008,1.5000000,1,132542,4.0000000,10,0.0000000,0.8518519,0.0750000,0.0000617,0.2000000,0.6250000,14583
